hours_sleep,hours_work,breaks,meetings,commute_min,exercise_days,social_interaction,coffee_cups,screen_time_outside_work,job_satisfaction,perceived_stress,mood,burnout_risk
7.5960569836134795,8.250449005295815,1,4,40.67390496012386,1.0713862860839256,2.653703833203097,2,5.203645755418562,1.2795522025654051,10.0,0.9931066644978819,1
6.834082838594578,7.141188917749494,0,5,59.85905245507655,2.274195143945812,0.737085818430435,5,5.921597614604494,6.813291304587439,2.7158197796655426,5.224838652037133,0
7.777226245720831,8.244595006064568,2,1,22.17950666268847,1.4585843133353484,3.369275916443951,1,6.5208998503390365,7.70644329828357,1.7687015103318005,4.177814586444511,0
8.82763582768963,9.086596058072775,3,5,59.58963523721746,0.5305340001224048,1.622525794007398,2,5.941388966657244,4.856739655712638,3.469110369464631,4.600937392609501,0
6.719015950331997,8.09772014065141,0,4,16.81952346680659,0.4510484664612936,0.7650956930396662,2,8.309630239027197,1.981757015816049,6.392253665364077,1.2313577499666195,1
6.719035651660984,8.081183382407765,3,2,56.57292823089287,1.0985299932970702,1.104192658899425,3,7.512335599179641,4.087199898777046,7.320007837380427,0.423553206906933,1
8.89505537860887,6.59601662438649,2,2,46.349342533967445,2.7430392078880073,3.489571511768341,3,5.853799928671663,4.2303265317989,2.250268270900172,4.626416074596066,0
7.92092167498349,6.674198164898104,3,1,11.730828407355546,1.7693763504251399,5.041556041399211,1,3.929248216176797,1.5928206896391126,8.245729433735004,0.003979658843971112,1
6.436630736878057,5.194789456400613,2,3,36.140784745036434,2.2545471284315526,3.058341774354366,4,7.161056297835679,1.2304421824687442,8.122499694408853,2.0599944361051943,0
7.6510720523031575,11.499153486373878,2,5,28.97528328935617,2.7188887959283012,3.3170709819689472,2,5.370188856163579,3.202460515599695,7.99580368715009,2.5231239839885524,1
6.443898768625045,5.512273529217429,3,1,42.51169187350001,2.0698253528635817,4.774342408316888,3,5.658509823330673,7.320334811746562,0.0,5.388928299680593,0
6.441124295715692,6.614189604408185,2,2,25.534568231333807,3.105245141973866,0.6833176363746687,1,3.3626298781476125,8.218942057022723,1.8060193539491562,6.35459714568803,0
7.290354725879241,6.563185468861605,3,3,23.855075486765372,0.9013606707941262,3.7802646324004074,3,6.827141632617208,6.9633279954379805,3.722640687280233,2.480315207167605,0
4.7040637064106425,9.789848753888883,2,3,57.38189165525703,1.2702598416108195,2.982615323521768,1,11.186771490898703,7.055875545965703,0.0,3.81948491470911,1
4.93009860098436,7.410100643415944,0,3,28.02558211088654,3.3974404711473527,3.8490861882481004,1,4.987426736427851,5.626527346640524,2.224816707636002,3.6762024317989423,1
6.325254964910833,10.495484145347469,1,3,46.528446483835324,2.5186021233192335,2.274774137394276,1,7.245204676345642,3.477415045595413,6.339005260779005,4.073440731394096,1
5.784602655598691,6.653018751512263,3,5,25.492970299116003,1.7902204957129009,1.7730940643602766,4,8.49171816237669,3.848253573056741,7.180040242211867,0.32188520367419504,0
7.377096799114328,8.557988324447605,2,4,63.33326518455046,1.5510485645210634,3.210763356428408,2,4.9540457990737075,6.823133157346746,3.5418654648786543,2.4571057666960794,0
5.910371109374547,6.329305893480486,3,3,16.43330741329013,3.227666314910546,5.473786985001693,0,1.1496216926454377,7.267319137193779,3.853589368705836,3.023079587377841,0
